#;presion_entrada;mfc;pcv;caudal_camara;presion_camara
Case 255;5;90;100;0,746;1,112
Case 256;5;90;100;0,745;1,272
Case 257;5;90;100;0,744;1,363
Case 258;5;90;100;0,743;1,433
Case 259;5;90;100;0,742;1,493
Case 260;5;90;98,68;0,741;1,546
Case 261;5;90;97,56;0,74;1,593
Case 262;5;90;96,59;0,739;1,637
Case 263;5;90;95,73;0,738;1,677
Case 264;5;90;94,97;0,737;1,715
Case 266;5;90;93,63;0,735;1,785
Case 267;5;90;93,05;0,734;1,817
Case 268;5;90;92,5;0,733;1,848
Case 269;5;90;91,99;0,732;1,878
Case 270;5;90;91,51;0,731;1,906
Case 271;5;90;91,06;0,73;1,933
Case 273;5;90;90,23;0,728;1,986
Case 274;5;90;89,84;0,727;2,011
Case 275;5;90;89,47;0,726;2,035
Case 277;5;90;88,78;0,724;2,082
Case 278;5;90;88,78;0,723;2,104
Case 279;5;90;88,13;0,722;2,126
Case 280;5;90;87,83;0,721;2,147
Case 281;5;90;87,54;0,72;2,168
Case 282;5;90;87,25;0,719;2,188
Case 283;5;90;86,98;0,718;2,209
Case 284;5;90;86,72;0,717;2,228
Case 285;5;90;86,46;0,716;2,247
Case 286;5;90;86,46;0,715;2,266
Case 287;5;90;86,46;0,714;2,285
Case 288;5;90;85,72;0,713;2,303
Case 289;5;90;85,49;0,712;2,321
Case 290;5;90;85,26;0,711;2,338
Case 291;5;90;85,04;0,71;2,356
Case 292;5;90;84,82;0,709;2,373
Case 294;5;90;84,41;0,707;2,406
Case 295;5;90;84,2;0,706;2,422
Case 296;5;90;84,01;0,705;2,438
Case 297;5;90;83,81;0,704;2,454
Case 299;5;90;83,44;0,702;2,485
Case 301;5;90;83,07;0,7;2,515
Case 303;5;90;82,72;0,698;2,545
Case 305;5;90;82,38;0,696;2,573
Case 306;5;90;82,21;0,695;2,587
Case 308;5;90;81,89;0,693;2,615
Case 309;5;90;81,73;0,692;2,629
Case 310;5;90;81,58;0,691;2,642
Case 311;5;90;81,42;0,69;2,655
Case 312;5;90;81,27;0,689;2,668
Case 313;5;90;81,12;0,688;2,681
